source_url,title,authors,first_published,publish_date,subjects,language,isbn,edition_count,rating,number_of_ratings,pages,original_title,work_key
https://openlibrary.org/works/OL10215W/Мы?edition=key%3A/books/OL37044876M,We,"['Евгений Иванович Замятин', 'Gary Kern', 'Alejandro Ariel González', 'Tavo Montañez', 'Sergio Hernández-Ranera Sánchez', 'Gregory Zilboorg', 'Alexander Glinka']",1924,2020,"['Literature: Texts', 'Untranslated Fiction - General', 'Literature - Classics / Criticism', 'Literary Criticism', 'Russian & Former Soviet Union', 'Fiction, science fiction, general', 'Fiction, dystopian', 'Classic Literature', 'Fiction', 'Science Fiction', 'Political fiction', 'Dystopias', 'Russian fiction', 'Russian prose', 'totalitarianism', 'Russian satire', 'dystopia', 'Russian language materials', 'Authoritarianism', 'Modern fiction', 'Russian Novel And Short Story', 'Literary', 'Fiction / Literary', 'Continental european fiction (fictional works by one author)', 'Corrupt practices', 'Political science', 'Electronic surveillance', 'Criticism and interpretation', 'Fiction, general', 'Soviet union, fiction', 'Biography', 'My (Zami︠a︡tin, Evgeniĭ Ivanovich)', 'Science fiction, Russian', 'Russian Science fiction', 'Group identity', 'Pg3476.z34 m913 1983', 'Russian fiction--20th century', 'Satire, russian', 'Totalitarianism and literature', 'Pg3476.z34 m913 2006', '891.73/42', 'Fiction, romance, general', 'Translations into English', 'Utopias', 'Dystopias - Fiction', 'Evgeniĭ Ivanovich Zami︠a︡tin (1884-1937)', 'Dmitriĭ Dmitrievich Shostakovich (1906-1975)', 'Soviet Union', 'Wallsend', 'Tyneside', 'Early 20th century', '20th century']",English,9780140185850,210,4.0,39,221,We,OL10215W
https://openlibrary.org/works/OL74502W/The_Iron_Heel?edition=key%3A/books/OL32092077M,The Iron Heel,['Jack London'],1907,2010-07-16,"['Revolutions, fiction', 'Oligarchy, fiction', 'Utopias,  fiction', 'Revolutionaries, fiction', 'Dysyopias, fiction', 'Science Fiction', 'Socialism,  fiction', 'Classic Literature', 'American fiction (fictional works by one author)', 'Fiction, political', 'Fiction, historical', 'United States, fiction', 'Political fiction', 'Utopias', 'Fiction', 'Oligarchy', 'Revolutionaries', 'Revolutions']",English,,594,3.5,20,0,The Iron Heel,OL74502W
https://openlibrary.org/works/OL1099513W/Voyage_au_Centre_de_la_Terre?edition=key%3A/books/OL37044653M,Journey to the Center of the Earth,['Jules Verne'],1867,2020,"['Fiction', 'Science fiction', 'Imaginary Voyages', 'Imaginary voyages in fiction', 'Explorers in fiction', 'Explorers', 'Cartoons and comics', 'Adventure and adventurers', 'Adventure and adventurers in fiction', 'French Science fiction', 'Voyages and travels', 'Earth in fiction', 'Core', 'Juvenile fiction', 'Voyages and travels in fiction', 'Ciencia-ficción', 'Earth', 'Vietnamese language books', 'Classic Literature', 'Thriller', 'Fiction, science fiction, action & adventure', 'Lidenbrock, professor (fictitious character), fiction', 'Fiction, science fiction, general', 'Large type books', 'Planets', 'Geology', 'Internal structure', 'Fantasy fiction', 'Adventure stories', 'Volcanoes', 'Leprosy', 'Patients', 'French fiction', 'Professor Lidenbrook (Fictitious character)', ""Children's fiction"", 'Adventure and adventurers, fiction', 'Volcanoes, fiction', 'Fiction, action & adventure', 'Illustraties', 'Frans', 'Viajes', 'Núcleo', 'Adventures and adventurers', 'Aventuras', 'Tierra', 'Ficción', 'Earth (Planet) -- Core -- Fiction', 'Voyages, Imaginary -- Fiction', 'Long Now Manual for Civilization', 'Professor Otto Lidenbrock', 'Professor Hardwigg', 'Iceland', 'Snæfelljökull', '19th century']",English,,204,4.0,73,0,Journey to the Center of the Earth,OL1099513W
https://openlibrary.org/works/OL52195W/The_food_of_the_gods_and_how_it_came_to_earth?edition=key%3A/books/OL51733541M,The Food of the Gods,['H. G. Wells'],1900,2024,"['Fiction', 'Giants', 'Growth factors', 'Food supply', 'Science fiction', 'Agriculture', 'Experimentation', 'Fiction, science fiction, general', 'British and irish fiction (fictional works by one author)', 'Scientists', 'Artificial foods', 'English literature', 'English fiction', 'English Science fiction', 'Giants -- Fiction']",English,,194,3.2,9,0,The Food of the Gods,OL52195W
https://openlibrary.org/works/OL45793W/Charlie_and_the_Great_Glass_Elevator?edition=key%3A/books/OL39486892M,Charlie and the Great Glass Elevator,['Roald Dahl'],1972,1972,"['Charlie Bucket (Fictitious character)', 'Juvenile fiction', ""Children's fiction"", 'Outer space, fiction', 'Science fiction', 'Humorous stories', 'Outer space', 'Fiction', 'Eccentrics and eccentricities', 'Chocolate industry', 'Candy industry', 'Manned space flight', 'Fantasies', 'Rymdfärder', 'Skönlitteratur', 'Humorous fiction', 'Elevators', 'Space flight', 'Space stations', 'Extraterrestrial beings', 'Adventure stories', ""Children's stories"", 'Boys, fiction']",English,0394824725,108,3.5,50,0,Charlie and the Great Glass Elevator,OL45793W
https://openlibrary.org/works/OL2163649W/The_Hitch_Hiker's_Guide_to_the_Galaxy?edition=key%3A/books/OL32838419M,The Hitch Hiker's Guide to the Galaxy,['Douglas Adams'],1979,1980,"['comic science fiction', 'Vogons', 'Humorous fiction', 'Imaginary voyages', 'wit and humour', 'Science Fiction', 'Interstellar travel', 'Fiction', 'Interplanetary voyages', 'Open Library Staff Picks', 'Life on other planets', 'Ford Prefect (Fictitious character)', 'Arthur Dent (Fictitious character)', 'Humorous stories', 'Viajes interplanetarios', 'Ficción', 'Language readers', 'Reading Level-Grade 11', 'Reading Level-Grade 12', 'Radio plays', 'English literature', 'Fiction, science fiction, general', 'Fiction, humorous', 'Dent, arthur (fictitious character), fiction', 'Prefect, ford (fictitious character), fiction', 'Fiction, science fiction, action & adventure', 'Christian life', 'Indians of North America', 'Science-fiction', 'Fiction, humorous, general', 'New age movement', 'Fiction, action & adventure', 'English language', 'Adventure', 'Humorous', 'Action & adventure', 'General', 'Space opera', 'English & college success -> english -> fiction', 'English & college success -> english -> humor', 'Fiction in English', 'Ford Prefect', 'Arthur Dent', 'Zaphod Beeblebrox', 'Marvin', 'Trisha MacMillan', 'Slartibartfast', 'Deep Thought', 'Galaxy', 'Earth', 'Heart of Gold', 'Magrathea', 'The Restaurant at the End of the Universe']",English,,120,4.6,155,159,The Hitch Hiker's Guide to the Galaxy,OL2163649W
https://openlibrary.org/works/OL18417W/The_Wonderful_Wizard_of_Oz?edition=key%3A/books/OL6477875M,The  new Wizard of Oz,['L. Frank Baum'],1899,1944,"['Witches', 'Toy and movable books', 'Spanish language materials', 'Fiction', 'Wizards', 'Juvenile literature', 'Wizards in fiction', ""Children's stories, Russian"", 'Specimens', 'Imaginary voyages in fiction', 'Classic Literature', 'Imaginary Voyages', ""Children's stories, American"", 'Adventure and adventurers', 'Open Library Staff Picks', 'Books and reading', ""Children's stories"", 'Witches in fiction', 'History', 'Juvenile fiction', 'Latin language materials', 'Fairy tales', 'Children', 'Contes americains', 'Ouvrages pour la jeunesse', 'Fantasy', 'Fantasy fiction', 'Fantastic fiction', 'Novela fantástica', 'Fantasía', 'Teenage girls', 'Quests (Expeditions)', 'Oz (Imaginary place)', ""Children's fiction"", 'Oz (imaginary place), fiction', 'Fiction, fantasy, general', 'Young adult fiction', 'Fiction, science fiction, general', 'Wizards, fiction', 'Fantasy & Magic', 'Classics', 'Literature and fiction, juvenile', 'American Fantasy fiction', 'History and criticism', 'Dorothy Gale (Fictional character)', 'French language materials', 'American literature', 'Children: Babies Toddlers', 'Wizard of Oz (Fictitious character)', 'Friendship', 'Courage', 'Adventure stories', 'Dorothy Gale (Fictitious character)', ""Children's literature"", 'General', 'Contes américains', 'Roman pour la jeunesse', 'Contes', 'Tong hua', 'Er tong wen xue', 'Han yu pin yin', 'Er tong du wu', 'Translations into Chinese', 'Suo xie ben', 'Chinese language materials', 'Ying yu', 'Dui zhao du wu', 'Han yu', 'Pictorial works', 'Robots, fiction', 'Science fiction', 'Criticism and interpretation', 'Wizard of Oz (Baum, L. Frank)', 'Fiction, general', 'Film adaptations', 'Oz (Imaginary place) -- Juvenile fiction', 'Fantasy literature', 'Courage -- Juvenile fiction', 'Home -- Juvenile fiction', 'Good and evil -- Juvenile fiction', 'Dreams -- Juvenile fiction', 'Gale, Dorothy (Fictitious character) -- Juvenile fiction', 'Cowardly Lion (Fictitious character) -- Juvenile fiction', 'Cyclones -- Juvenile fiction', 'Scarecrow (Fictitious character from Baum) -- Juvenile fiction', 'Toto (Fictitious character) -- Juvenile fiction', 'Witches -- Juvenile fiction', 'Wizard of Oz (Fictitious character) -- Juvenile fiction', 'Tin Woodman (Fictitious character) -- Juvenile fiction', 'Adventure and adventurers, fiction', 'Witches, fiction', 'Scarecrow (Fictitious character : Baum)', 'Tin Woodman (Fictitious character)', 'Cowardly Lion (Fictitious character)', 'Oz (Lieu imaginaire)', 'Romans, nouvelles, etc. pour la jeunesse', 'Friendship, fiction', 'People with disabilities, fiction', 'Great britain, fiction', 'American fiction (fictional works by one author)', 'Picture books', 'Fables', 'Toto (Fictitious character)', 'Good and evil', 'Motion picture plays', 'Juvenile drama', 'JUVENILE FICTION / Fantasy & Magic', 'Fiction, action & adventure', 'Jeugdboeken ; verhalen', 'Literature and fiction (general)', 'Drama', 'Illustrations', 'Long Now Manual for Civilization', 'Dorothy Gale', 'Scarecrow (Fictitious character : Baum)', 'Dorothy Gale (Fictitious character)', 'Wizard of Oz (Fictitious character)', 'Tin Woodman (Fictitious character)', 'Cowardly Lion (Fictitious character)', 'Dorothy', 'Tin Man', 'Scarecrow', 'L. Frank Baum (1856-1919)', 'Oz', 'Kansas', 'United States', 'Oz (Imaginary place)', 'Etats-Unis', 'Mei guo', '20th Century', 'Jindai', 'Jin dai', 'Xian dai']",English,,2052,4.0,113,209,The  new Wizard of Oz,OL18417W
https://openlibrary.org/works/OL103123W/Fahrenheit_451?edition=key%3A/books/OL49213952M,Fahrenheit 451,['Ray Bradbury'],1953,1971-11,"['Mechanical Hound', 'girl next door', 'Long Now Manual for Civilization', 'Terrorismo estatal', 'Censura', 'Novela', 'Totalitarismo', 'science fiction', 'political fiction', 'satire', 'Zukunft', 'State-sponsored terrorism', 'Totalitarianism', 'Book burning', 'Censorship', 'Fiction', 'American Science fiction', 'Fictional Works', 'Terrorism', 'Reading Level-Grade 7', 'Reading Level-Grade 9', 'Reading Level-Grade 8', 'Reading Level-Grade 11', 'Reading Level-Grade 10', 'Reading Level-Grade 12', 'Fiction, dystopian', 'Fiction, science fiction, general', 'Fiction, political', 'Drama', 'Large type books', 'American literature', 'award:retro_hugo', 'Terrorismo', 'Totalitarianisms', 'Bücherverbrennung', ""Terrorisme d'État"", 'Romans, nouvelles', 'Totalitarisme', 'Autodafé de livres', 'Zhang pian xiao shuo', 'Education', 'Language arts', 'Fiction, horror', 'Science fiction, american', 'Book burning--fiction', 'Censorship--fiction', 'State-sponsored terrorism--fiction', 'Totalitarianism--fiction', 'Ps3503.r167 f3 2012', '813/.54', 'Guy Montag', 'Captain Beatty', 'Clarisse McClellan', 'Mei guo', 'Xiandai']",English,,257,4.0,406,147,Fahrenheit 451,OL103123W
https://openlibrary.org/works/OL49488W/Ender's_Game?edition=key%3A/books/OL43190630M,Ender's Game,['Orson Scott Card'],1985,2002,"['New York Times bestseller', 'nyt:mass_market_paperback=2011-07-30', 'military education', 'end of the world', 'prize:nebula', 'hegemony', 'space warfare', 'child soldiers', 'The Ender Quintet', 'science fiction', 'automation', 'data processing', 'aliens', 'Military art and science', 'Hermanos', 'Maniobras de guerra', 'Brothers and sisters', 'Open Library Staff Picks', 'Genetic engineering', 'Fiction', 'Hugo Award Winner', 'award:hugo_award=novel', 'Ficción', 'Ciencia-ficción', 'award:hugo_award=1986', 'War games', 'Long Now Manual for Civilization', 'American Science fiction', ""Children's stories, American"", 'Artificial intelligence', 'Ender Wiggin (Fictitious character)', 'Reading Level-Grade 7', 'Reading Level-Grade 9', 'Reading Level-Grade 8', 'Reading Level-Grade 11', 'Reading Level-Grade 10', 'Reading Level-Grade 12', 'Wiggin, ender (fictitious character), fiction', 'Battle school (imaginary place), fiction', 'Fiction, science fiction, hard science fiction', 'Brothers and sisters, fiction', 'Science-Fiction-Literatur', 'Krieg', 'Amerikanisches Englisch', 'Außerirdische Intelligenz', 'award:nebula_award=novel', 'Peter Wiggin (Fictitious character)', 'Siblings, fiction', 'Bean (Fictitious character : Card)', 'Peter Wiggin', 'Valentine Wiggin', 'Ender Wiggin', 'Andrew Wiggin', 'Hyrum Graff', 'Bean', 'Julian Delphiki', 'buggers', 'Ender Wiggin (Fictitious character)', 'Terre', 'Earth', 'Battle School']",English,1448767911,104,4.4,388,330,Ender's Game,OL49488W
https://openlibrary.org/works/OL675783W/The_Handmaid's_Tale?edition=key%3A/books/OL51647052M,The Handmaid's Tale,['Margaret Atwood'],1985,1985,"['brothels', 'Canadian authors', 'Canadian fantasy fiction', 'Canadian fiction (fictional works by one author)', 'Christian fundamentalism', 'Dystopian fiction', 'Dystopias', 'fantasy fiction', 'Fiction', 'Fiction, dystopian', 'Fiction, fantasy, general', 'handmaids', 'Large type books', 'Man-woman relationships', 'Man-woman relationships, fiction', 'military dictatorship', 'Misogyny', 'New York Times bestseller', 'nyt:e-book-fiction=2017-01-22', 'nyt:trade-fiction-paperback=2017-02-26', 'Old Testament', 'Political', 'political fiction', 'pregnancy', 'religious fanaticism', 'revolution', 'science fiction', 'Scrabble', 'Social aspects', 'theocracy', 'theonomy', 'totalitarianism', 'United States Congress', 'Women', 'Study guides', 'History and criticism', ""Handmaid's tale (Atwood, Margaret)"", 'Roman canadien de langue anglaise', 'Misogynie', 'collectionID:EanesChallenge', 'Romans, nouvelles', 'Femmes', 'collectionID:ConroeChallenge', 'FICTION / Dystopian', 'FICTION / Political', 'FICTION / Science Fiction', 'Teen fiction', 'World literature', 'Fiction subjects', 'Science fiction & fantasy', 'Comics & graphic novels, adaptations', 'Comics & graphic novels, literary', 'Comics & graphic novels, fantasy', 'Dystopian', 'Foreign relations', 'Neutrality', 'Long Now Manual for Civilization', 'Margaret Atwood (1939-)', 'Offred', 'Commanders', 'Rachel', 'Bilhah', 'Aunts', 'Handmaids', 'Marthas', 'Econowives', 'Moira', 'Serena Joy', 'Ofglen', 'Nick', 'Eyes of God', 'Luke', 'Professor Pieixoto', 'Republic of Gilead', 'New England', 'United States of America', 'Canada', ""Jezebel's"", 'Colonies']",English,038549081X,147,3.9,108,311,The Handmaid's Tale,OL675783W
